w1,w2,algorithm,best_n,best_a,best_tsc
0.1,0.1,PSO,6,0.174,0.1072
0.1,0.1,GWO,6,0.174,0.1072
0.1,0.2,PSO,6,0.174,0.1572
0.1,0.2,GWO,6,0.173,0.1572
0.1,0.3,PSO,6,0.174,0.2072
0.1,0.3,GWO,6,0.181,0.2072
0.1,0.4,PSO,6,0.174,0.2572
0.1,0.4,GWO,6,0.181,0.2572
0.1,0.5,PSO,6,0.174,0.3072
0.1,0.5,GWO,6,0.175,0.3072
0.1,0.6,PSO,6,0.174,0.3572
0.1,0.6,GWO,6,0.175,0.3572
0.1,0.7,PSO,6,0.174,0.4072
0.1,0.7,GWO,6,0.175,0.4072
0.1,0.8,PSO,6,0.174,0.4572
0.1,0.8,GWO,6,0.179,0.4572
0.1,0.9,PSO,6,0.174,0.5072
0.1,0.9,GWO,6,0.179,0.5072
0.1,1.0,PSO,6,0.174,0.5572
0.1,1.0,GWO,6,0.174,0.5572
0.2,0.1,PSO,25,0.101,0.1753
0.2,0.1,GWO,25,0.1,0.1753
0.2,0.2,PSO,6,0.174,0.2144
0.2,0.2,GWO,6,0.174,0.2144
0.2,0.3,PSO,6,0.174,0.2644
0.2,0.3,GWO,6,0.174,0.2644
0.2,0.4,PSO,6,0.174,0.3144
0.2,0.4,GWO,6,0.173,0.3144
0.2,0.5,PSO,6,0.174,0.3644
0.2,0.5,GWO,6,0.181,0.3644
0.2,0.6,PSO,6,0.174,0.4144
0.2,0.6,GWO,6,0.181,0.4144
0.2,0.7,PSO,6,0.174,0.4644
0.2,0.7,GWO,6,0.176,0.4644
0.2,0.8,PSO,6,0.174,0.5144
0.2,0.8,GWO,6,0.176,0.5144
0.2,0.9,PSO,6,0.174,0.5644
0.2,0.9,GWO,6,0.175,0.5644
0.2,1.0,PSO,6,0.174,0.6144
0.2,1.0,GWO,6,0.175,0.6144
0.3,0.1,PSO,25,0.129,0.2602
0.3,0.1,GWO,25,0.1,0.2629
0.3,0.2,PSO,6,0.175,0.2716
0.3,0.2,GWO,6,0.18,0.2716
0.3,0.3,PSO,6,0.174,0.3216
0.3,0.3,GWO,6,0.174,0.3216
0.3,0.4,PSO,6,0.174,0.3716
0.3,0.4,GWO,6,0.177,0.3716
0.3,0.5,PSO,6,0.174,0.4216
0.3,0.5,GWO,6,0.173,0.4216
0.3,0.6,PSO,6,0.174,0.4716
0.3,0.6,GWO,6,0.173,0.4716
0.3,0.7,PSO,6,0.174,0.5216
0.3,0.7,GWO,6,0.181,0.5216
